Personagem,Fala
Chieftain_Grohk_voice_lines,"  ""Cursed snake!"" (Mal'Damba)"
Chieftain_Grohk_voice_lines,"  ""How easy they fall."""
Chieftain_Grohk_voice_lines,"  ""Honor!"""
Chieftain_Grohk_voice_lines,"  ""Strength."""
Chieftain_Grohk_voice_lines,"  ""War!"""
Chieftain_Grohk_voice_lines,"  ""Your anger is wired, untamed and sloppy."" (Zhin)"
Chieftain_Grohk_voice_lines,"  ""The tribe grow strong!"""
Chieftain_Grohk_voice_lines,"  ""Victory is near!"""
Chieftain_Grohk_voice_lines,"  ""That point is ours!"""
Chieftain_Grohk_voice_lines,"  ""Chase the point!"""
Chieftain_Grohk_voice_lines,"  ""This day is ours"""
Chieftain_Grohk_voice_lines,"  ""Gahahahahhaha!"""
Chieftain_Grohk_voice_lines,"  ""I shame my people."""
Chieftain_Grohk_voice_lines,"  ""There is no place for failure!"""
Chieftain_Grohk_voice_lines,"  ""You are warrior? Sorry, those gangly limbs confused me!"""
Chieftain_Grohk_voice_lines,"  ""Those weapons  only prove your cowardish."""
Chieftain_Grohk_voice_lines,"  ""*UGHHH*! Wake me when the fight finally starts..."""
Chieftain_Grohk_voice_lines,"  ""Stop orking me around."""
Chieftain_Grohk_voice_lines,"  ""Of course there're orc women! Do you think we can just pop out of the ground?"""
Chieftain_Grohk_voice_lines,"  ""Actually, my stuff houses a small cluster of ionised particles that... *ugh* I mean... The spirits grant me divine power!"""
Chieftain_Grohk_voice_lines,"  ""hahaahahaha!"""
Chieftain_Grohk_voice_lines,"  ""Ughahahahaaha!"""
Chieftain_Grohk_voice_lines,"  ""Mhhhehehe!"""
Chieftain_Grohk_voice_lines,"  ""*UMMMMMMBBMMMMMMMMMMUMMMMMMMUMMMMMMMMMMMBUMMMMM*"""
Chieftain_Grohk_voice_lines,"  ""War is in my blood, my heart, my very soul!"""
Chieftain_Grohk_voice_lines,"  ""I will wear it with pride."""
Chieftain_Grohk_voice_lines,"  ""The spirits have many secrets!"""
Chieftain_Grohk_voice_lines," ""Out of Mana!"""
Clockwork_Torvald_voice_lines,"  ""Torvald!"""
Clockwork_Torvald_voice_lines,"  ""You're off your trolley if you think I'd miss a banger like this!"""
Clockwork_Torvald_voice_lines,"  ""Metal and steam are my greatest allies... Oh, you dodgy lot are alright, too."""
Clockwork_Torvald_voice_lines,"  ""Right-o!"""
Clockwork_Torvald_voice_lines,"  ""To the front now, let's go!"""
Clockwork_Torvald_voice_lines,"  ""Gears are a-turnin!"""
Clockwork_Torvald_voice_lines,"  ""Oh-ho-ho, that's a proper power up!"""
Clockwork_Torvald_voice_lines,"  ""Don't worry!"""
Clockwork_Torvald_voice_lines,"  ""You be careful now."""
Clockwork_Torvald_voice_lines,"  ""Oh, shush it!"""
Clockwork_Torvald_voice_lines,"  ""Ha!"""
Clockwork_Torvald_voice_lines,"  ""It's working, by Jove, it's working!"" (enemy/self)"
Clockwork_Torvald_voice_lines,"  ""Spot on, old bean."""
Clockwork_Torvald_voice_lines,"  ""Now that is first class."""
Clockwork_Torvald_voice_lines,"  ""Shiny and polished."""
Clockwork_Torvald_voice_lines,"  ""No no!"""
Clockwork_Torvald_voice_lines,"  ""Hold it!"""
Clockwork_Torvald_voice_lines,"  ""Oi, cut it out!"""
Clockwork_Torvald_voice_lines,"  ""Such terrible manners."""
Clockwork_Torvald_voice_lines,"  ""Oof."""
Clockwork_Torvald_voice_lines,"  ""Bugger!"""
Clockwork_Torvald_voice_lines,"  ""Yes, quite hot."""
Clockwork_Torvald_voice_lines,"  ""A little knackered here."""
Clockwork_Torvald_voice_lines,"  ""Blimey, that was close!"""
Clockwork_Torvald_voice_lines,"  ""Thanks, love!"""
Clockwork_Torvald_voice_lines,"  ""Just what I needed, healer."""
Clockwork_Torvald_voice_lines,"  ""I've gone... to pieces..."""
Clockwork_Torvald_voice_lines,"  ""Jump start..."""
Clockwork_Torvald_voice_lines,"  ""You look awful knackered there."""
Clockwork_Torvald_voice_lines,"  ""Ha, give them what for!"""
Clockwork_Torvald_voice_lines,"  ""That'll do there, that'll do."""
Clockwork_Torvald_voice_lines,"  ""Needed to let off a little steam."""
Clockwork_Torvald_voice_lines,"  ""Alright, how about a cup of tea?"""
Clockwork_Torvald_voice_lines,"  ""Manners are not optional, but essential."""
Clockwork_Torvald_voice_lines,"  ""Your trinkets are amateur at best."" (Barik)"
Clockwork_Torvald_voice_lines,"  ""Let's see what makes you tick."" (Bomb King)"
Clockwork_Torvald_voice_lines,"  ""You think you're so tough."" (Zhin)"
Clockwork_Torvald_voice_lines,"  ""I'm the hero!"""
Clockwork_Torvald_voice_lines,"  ""Phehehehe."""
Clockwork_Torvald_voice_lines,"  ""I'm here for you!"""
Clockwork_Torvald_voice_lines,"  ""Torvald's here!"""
Clockwork_Torvald_voice_lines,"  ""Huzzah!"""
Clockwork_Torvald_voice_lines,"  ""Well done, everyone."""
Clockwork_Torvald_voice_lines,"  ""These nitwits have taken what's ours!"""
Clockwork_Torvald_voice_lines,"  ""Oi, they're nicking the point!"""
Clockwork_Torvald_voice_lines,"  ""Cheers, all."""
Clockwork_Torvald_voice_lines,"  ""Glad that's over, now let's go to the Winchester and have a nice cold pint."""
Clockwork_Torvald_voice_lines,"  ""I guess I'll go tune some machines at the shop..."""
Clockwork_Torvald_voice_lines,"  ""Chin up now, no sense in getting upset."""
Clockwork_Torvald_voice_lines,"  ""Why you mangy little one always ..."""
Clockwork_Torvald_voice_lines,"  ""You've got a loose screw or two there, mate!"""
Clockwork_Torvald_voice_lines,"  ""Ew, you're really grindin' my gears!"""
Clockwork_Torvald_voice_lines,"  ""I would wear two monocles if it was socially acceptable."""
Clockwork_Torvald_voice_lines,"  ""Do you know how to make a handkerchief dance? Put a little boogie in it!"""
Clockwork_Torvald_voice_lines,"  ""It was a steam pipe(?) last night."""
Clockwork_Torvald_voice_lines,"  ""Hmhahahahahahaha!"""
Clockwork_Torvald_voice_lines,"  ""Ghohohohohohohohoo!"""
Clockwork_Torvald_voice_lines,"  ""Ehoo!"""
Clockwork_Torvald_voice_lines,"  ""This is going to be a right ol' tussle."""
Clockwork_Torvald_voice_lines,"  ""A little bloodsport to pass the time, shall we?"""
Clockwork_Torvald_voice_lines,"  ""You want a piece of ol' Torv?"""
Clockwork_Torvald_voice_lines,"  ""Oh-hohoho, yeah."""
Clockwork_Torvald_voice_lines,"  ""That is pretty good."""
Clockwork_Torvald_voice_lines,"  ""Hold still."""
Clockwork_Torvald_voice_lines,"  ""Nice and crispy."""
Clockwork_Torvald_voice_lines,"  ""Right-o."""
Clockwork_Torvald_voice_lines,"  ""I'd take that to the bank!"""
Clockwork_Torvald_voice_lines,"  ""I need four brass ingots, two spanners, and... Hmm...."""
Clockwork_Torvald_voice_lines,"  ""Now where did I put that gear grease?"""
Clockwork_Torvald_voice_lines,"  ""I will have my vengeance!"""
Clockwork_Torvald_voice_lines,"  ""Once more into the fray."""
Clockwork_Torvald_voice_lines,"  ""I've got credits to spare."""
Clockwork_Torvald_voice_lines,"  ""Wow, you're tip-top!"""
Clockwork_Torvald_voice_lines,"  ""Not bad there!"""
Clockwork_Torvald_voice_lines,"  ""Chin up, lads, maybe you'll get it next time!"""
Clockwork_Torvald_voice_lines,"  ""Sit back, have a cup of tea, and enjoy the show!"""
Clockwork_Torvald_voice_lines,"  ""I could tinker around here all day!"" (Quarry)"
Clockwork_Torvald_voice_lines,"  ""Ooh, look at the gears on that one!"" (Quarry)"
Clockwork_Torvald_voice_lines,"  ""A wise purchase, if I do say so myself."""
Clockwork_Torvald_voice_lines,"  ""Would you look at that!"""
Clockwork_Torvald_voice_lines,"  ""Ooh, just the one I was looking for!"""
Clockwork_Torvald_voice_lines,"  ""Enemies behind us."""
Clockwork_Torvald_voice_lines,"  ""They're behind us."""
Clockwork_Torvald_voice_lines,"  ""They're pushing the payload."""
Clockwork_Torvald_voice_lines,"  ""Stop that payload!"""
Clockwork_Torvald_voice_lines,"  ""Enemies on the flank."""
Clockwork_Torvald_voice_lines,"  ""They're on the flank."""
Clockwork_Torvald_voice_lines,"  ""Enemies above us."""
Clockwork_Torvald_voice_lines,"  ""They're above us."""
Clockwork_Torvald_voice_lines,"  ""Heads down! Sniper!"""
Clockwork_Torvald_voice_lines,"  ""Get down! Sniper!"""
Clockwork_Torvald_voice_lines,"  ""Turret spotted."""
Clockwork_Torvald_voice_lines,"  ""Enemy ultimate incoming!"""
Clockwork_Torvald_voice_lines,"  ""They're ulting!"""
Clockwork_Torvald_voice_lines,"  ""Group up!"""
Clockwork_Torvald_voice_lines,"  ""Group!"""
Clockwork_Torvald_voice_lines,"  ""I am wounded!"""
Clockwork_Torvald_voice_lines,"  ""I need healing!"""
Clockwork_Torvald_voice_lines,"  ""Help the tank."""
Clockwork_Torvald_voice_lines,"  ""Help the front line."""
Clockwork_Torvald_voice_lines,"  ""Now where is that objective at? Oh dear..."""
Clockwork_Torvald_voice_lines,"  ""I could go for an objective right about now."""
Clockwork_Torvald_voice_lines,"  ""Defend the payload."""
Clockwork_Torvald_voice_lines,"  ""Protect the payload."""
Clockwork_Torvald_voice_lines,"  ""Push the payload."""
Clockwork_Torvald_voice_lines,"  ""Get on the payload."""
Clockwork_Torvald_voice_lines,"  ""Overtime."""
Clockwork_Torvald_voice_lines,"  ""It's overtime."""
Clockwork_Torvald_voice_lines,"  ""I should wait for allies."""
Code_Green_Viktor_voice_lines,"  ""Viktor!"""
Code_Green_Viktor_voice_lines,"  ""Fall in maggots! This here is a real man's war!"""
Code_Green_Viktor_voice_lines,"  "" *singing* Mission top secret, destination unknown. Don't know If I'm comin' home!"""
Code_Green_Viktor_voice_lines,"  ""Mount up!"""
Code_Green_Viktor_voice_lines,"  ""Forward! March!"""
Code_Green_Viktor_voice_lines,"  ""Grenade out!"""
Code_Green_Viktor_voice_lines,"  ""Play time's over!"""
Code_Green_Viktor_voice_lines,"  ""Double time!"""
Code_Green_Viktor_voice_lines,"  ""Hup-hup!"""
Code_Green_Viktor_voice_lines,"  ""Barrage incoming!"" (enemy/self)"
Code_Green_Viktor_voice_lines,"  ""Heck yeah!"""
Code_Green_Viktor_voice_lines,"  ""Standard issue is insufficient!"""
Code_Green_Viktor_voice_lines,"  ""I can get used to this."""
Code_Green_Viktor_voice_lines,"  ""Hoooold it!"""
Code_Green_Viktor_voice_lines,"  ""Not yet!"""
Code_Green_Viktor_voice_lines,"  ""Well, that stings!"""
Code_Green_Viktor_voice_lines,"  ""So THAT'S how it is."""
Code_Green_Viktor_voice_lines,"  ""*hugh*"""
Code_Green_Viktor_voice_lines,"  ""*hugh*"""
Code_Green_Viktor_voice_lines,"  ""Is this napalm?"""
Code_Green_Viktor_voice_lines,"  ""I am a little banged up!"""
Code_Green_Viktor_voice_lines,"  ""There a medic in the house?"""
Code_Green_Viktor_voice_lines,"  ""Oh, yeah. That's good!"""
Code_Green_Viktor_voice_lines,"  ""Woo! Back at it."""
Code_Green_Viktor_voice_lines,"  ""Back in the box."""
Code_Green_Viktor_voice_lines,"  ""I'm not a toy!"""
Code_Green_Viktor_voice_lines,"  ""Welcome to the meat grinder."""
Code_Green_Viktor_voice_lines,"  ""No man left behind."""
Code_Green_Viktor_voice_lines,"  ""Much obliged."""
Code_Green_Viktor_voice_lines,"  ""Killing is my business and business is good!"""
Code_Green_Viktor_voice_lines,"  ""I'm the jolly green giant!"""
Code_Green_Viktor_voice_lines,"  ""Maximum effort."""
Code_Green_Viktor_voice_lines,"  ""Son, you got issues."" (Mal'Damba)"
Code_Green_Viktor_voice_lines,"  ""I hate snakes."" (Mal'Damba)"
Code_Green_Viktor_voice_lines,"  ""You're just full of hot air."" (Fernando)"
Code_Green_Viktor_voice_lines,"  ""Take a seat Mr. Macho."" (Fernando)"
Code_Green_Viktor_voice_lines,"  ""You need to get yourself a rifle, son."" (Sha Lin)"
Code_Green_Viktor_voice_lines,"  ""Are you a prince or something?"" (Sha Lin)"
Code_Green_Viktor_voice_lines,"  ""If only you could look down those sights."" (Tyra)"
Code_Green_Viktor_voice_lines,"  ""Nice try, sweetheart."" (Tyra)"
Code_Green_Viktor_voice_lines,"  ""Frag'em and tag'em."""
Code_Green_Viktor_voice_lines,"  ""Set up a perimeter!"""
Code_Green_Viktor_voice_lines,"  ""Fan out."""
Code_Green_Viktor_voice_lines,"  ""They're on the point!"""
Code_Green_Viktor_voice_lines,"  ""Enemies diggin' in on the point!"""
Code_Green_Viktor_voice_lines,"  ""Nothing beats the sweet taste of victory."""
Code_Green_Viktor_voice_lines,"  ""Mission accomplished!"""
Code_Green_Viktor_voice_lines,"  ""Mission failed."""
Code_Green_Viktor_voice_lines,"  ""The brass isn't gonna be happy about this..."""
Code_Green_Viktor_voice_lines,"  ""Stop breathing so hard, maggot! You're stealin' air from the rest of us!"""
Code_Green_Viktor_voice_lines,"  ""You're as useless as a chocolate tea pot, soldier."""
Code_Green_Viktor_voice_lines,"  ""If command wanted me to have a sense of humor, they'd issued me one."""
Code_Green_Viktor_voice_lines,"  ""You think that's funny, private knuckle-head? Hit that deck and give me 50."""
Code_Green_Viktor_voice_lines,"   ""Retreat?! Now that's a joke."""
Code_Green_Viktor_voice_lines,"  ""Haa ha ha ha!"""
Code_Green_Viktor_voice_lines,  *Ha ha*
Code_Green_Viktor_voice_lines,"  ""Move out."""
Code_Green_Viktor_voice_lines,"  ""Show me your war face!"""
Code_Green_Viktor_voice_lines,"  ""Want it? Come and get it!"""
Code_Green_Viktor_voice_lines,"  ""A promotion?"""
Code_Green_Viktor_voice_lines,"  ""Thank you, sir!"""
Code_Green_Viktor_voice_lines,"  ""Get 'sum!"""
Code_Green_Viktor_voice_lines,"  ""Take it!"""
Code_Green_Viktor_voice_lines,"  ""Isn't that nice!"""
Code_Green_Viktor_voice_lines,"  ""Aye-Aye, Sir!"""
Code_Green_Viktor_voice_lines,"  ""When are we deploying, commander?"""
Code_Green_Viktor_voice_lines,"  ""State your business."""
Code_Green_Viktor_voice_lines,"  ""Droppin' in and movin' out!"""
Code_Green_Viktor_voice_lines,"  ""Just wait till I get my hands on- *inaudible*"""
Code_Green_Viktor_voice_lines,"  ""These credits are pillin' up."""
Code_Green_Viktor_voice_lines,"  ""You can cut it in a real man's army!"""
Code_Green_Viktor_voice_lines,"  ""You don't quit, do you?"
Code_Green_Viktor_voice_lines,"  ""Ain't that just the darnedest thing?"""
Code_Green_Viktor_voice_lines,"  ""Eyes forward, ladies. You're in for a treat!"""
Code_Green_Viktor_voice_lines,"  ""Ah, I love the smell of Napalm in the morning."" (Tropical)"
Code_Green_Viktor_voice_lines,"  ""What a nice place. Shame we're gonna blow it up!"" (Tropical)"
Code_Green_Viktor_voice_lines,"  ""Good choice soldier."""
Code_Green_Viktor_voice_lines,"  ""Allow me!"""
Code_Green_Viktor_voice_lines,"  ""Now, we're talkin'."""
Code_Green_Viktor_voice_lines,"  ""Enemies behind us!"""
Code_Green_Viktor_voice_lines,"  ""They're behind us!"""
Code_Green_Viktor_voice_lines,"  ""They're pushing the payload!"""
Code_Green_Viktor_voice_lines,"  ""Stop that payload!"""
Code_Green_Viktor_voice_lines,"  ""Enemies on the flank!"""
Code_Green_Viktor_voice_lines,"  ""They're on the flank!"""
Code_Green_Viktor_voice_lines,"  ""Enemies above us!"""
Code_Green_Viktor_voice_lines,"  ""They're above us!"""
Code_Green_Viktor_voice_lines,"  ""Sniper! get down!"""
Code_Green_Viktor_voice_lines,"  ""Get down! Sniper!"""
Code_Green_Viktor_voice_lines,"  ""Turret spotted!"""
Code_Green_Viktor_voice_lines,"  ""Enemy ultimate incoming!"""
Code_Green_Viktor_voice_lines,"  ""They're ulting!"""
Code_Green_Viktor_voice_lines,"  ""Squad up!"""
Code_Green_Viktor_voice_lines,"  ""Everyone stay close!"""
Code_Green_Viktor_voice_lines,"  ""Heal me!"""
Code_Green_Viktor_voice_lines,"  ""I can use some healin'!"""
Code_Green_Viktor_voice_lines,"  ""Help the objective!"""
Code_Green_Viktor_voice_lines,"  ""Mind the objective!"""
Code_Green_Viktor_voice_lines,"  ""Defend the payload!"""
Code_Green_Viktor_voice_lines,"  ""Protect the payload!"""
Code_Green_Viktor_voice_lines,"  ""Push the payload!"""
Code_Green_Viktor_voice_lines,"  ""Get on the payload!"""
Code_Green_Viktor_voice_lines,"  ""Overtime!"""
Code_Green_Viktor_voice_lines,"  ""It's overtime!"""
Code_Green_Viktor_voice_lines,"  ""Wait and regroup!"""
Code_Green_Viktor_voice_lines," ""Attack the Siege Engine!"""
Code_Green_Viktor_voice_lines," ""Defend the Siege Engine!"""
Code_Green_Viktor_voice_lines," ""Out of Mana!"""
Conqueror_Zhin_voice_lines,"  ""Zhin."""
Conqueror_Zhin_voice_lines,"  ""I am a stranger in a strange land."""
Conqueror_Zhin_voice_lines,"  ""I live life the way I want, nobody stopped me yet."""
Conqueror_Zhin_voice_lines,"  ""Ride!"""
Conqueror_Zhin_voice_lines,"  ""Come on! Be aggressive!"""
Conqueror_Zhin_voice_lines,"  ""You won't touch me!"""
Conqueror_Zhin_voice_lines,"  ""Ugh!"""
Conqueror_Zhin_voice_lines,"  ""A moment's reprieve."""
Conqueror_Zhin_voice_lines,"  ""I'll come back for you."""
Conqueror_Zhin_voice_lines,"  ""Spin to win!"""
Conqueror_Zhin_voice_lines,"  ""Huagh!"""
Conqueror_Zhin_voice_lines,"  ""EUAAGH!"" (enemy/self)"
Conqueror_Zhin_voice_lines,"  ""It is not a belt of strength, but it'll do."""
Conqueror_Zhin_voice_lines,"  ""This doesn't match my armor set."""
Conqueror_Zhin_voice_lines,"  ""The final piece I've been looking for."""
Conqueror_Zhin_voice_lines,"  ""Not yet."""
Conqueror_Zhin_voice_lines,"  ""I can't do that."""
Conqueror_Zhin_voice_lines,"  ""Ha, using guns like cowards!"""
Conqueror_Zhin_voice_lines,"  ""Come closer and say that to my face."""
Conqueror_Zhin_voice_lines,"  ""Ugh!"""
Conqueror_Zhin_voice_lines,"  ""Argh, frozen."""
Conqueror_Zhin_voice_lines,"  ""Need fire resist."""
Conqueror_Zhin_voice_lines,"  ""Egh, this is nothing."""
Conqueror_Zhin_voice_lines,"  ""A grievous wound."""
Conqueror_Zhin_voice_lines,"  ""Egh! Thanks."""
Conqueror_Zhin_voice_lines,"  ""I can still fight."""
Conqueror_Zhin_voice_lines,"  ""It all finally caught up with me."""
Conqueror_Zhin_voice_lines,"  ""I didn't think death would find me here."""
Conqueror_Zhin_voice_lines,"  ""I see now why you lead from the front."" (Lian)"
Conqueror_Zhin_voice_lines,"  ""You're the perfect woman."" (Lian)"
Conqueror_Zhin_voice_lines,"  ""A treacherous move."" (Zhin)"
Conqueror_Zhin_voice_lines,"  ""You're too strong, even for me."" (Zhin)"
Conqueror_Zhin_voice_lines,"  ""Ha, first blood."""
Conqueror_Zhin_voice_lines,"  ""They were mine!"""
Conqueror_Zhin_voice_lines,"  ""I didn't ask for help."""
Conqueror_Zhin_voice_lines,"  ""Ha ha!"""
Conqueror_Zhin_voice_lines,"  ""Oh, this is fun!"""
Conqueror_Zhin_voice_lines,"  ""I'll kill you, I'll kill you all!"""
Conqueror_Zhin_voice_lines,"  ""You should've stayed in your castle."" (Lian)"
Conqueror_Zhin_voice_lines,"  ""Shouldn't you be lamenting right now?"" (Lian)"
Conqueror_Zhin_voice_lines,"  ""You fight with honor."" (Zhin)"
Conqueror_Zhin_voice_lines,"  ""I've never lost a fight to the death."" (Zhin)"
Conqueror_Zhin_voice_lines,"  ""Hah, fool."""
Conqueror_Zhin_voice_lines,"  ""Baited and outsmarted."""
Conqueror_Zhin_voice_lines,"  ""Cut you to shreds."""
Conqueror_Zhin_voice_lines,"  ""Hmm, dodge that."""
Conqueror_Zhin_voice_lines,"  ""I'm king of this hill."""
Conqueror_Zhin_voice_lines,"  ""This land is under my protection."""
Conqueror_Zhin_voice_lines,"  ""They're on the objective."""
Conqueror_Zhin_voice_lines,"  ""Enemies on the objective."""
Conqueror_Zhin_voice_lines,"  ""You can't keep me out."""
Conqueror_Zhin_voice_lines,"  ""I'll destroy anything in my way."""
Conqueror_Zhin_voice_lines,"  ""Hmph, pathetic."""
Conqueror_Zhin_voice_lines,"  ""No more of that."""
Conqueror_Zhin_voice_lines,"  ""I am the victor!"""
Conqueror_Zhin_voice_lines,"  ""My search for a real challenge continues."""
Conqueror_Zhin_voice_lines,"  ""I'm not angry, I'm just disappointed."""
Conqueror_Zhin_voice_lines,"  ""Watch your back, vengeance will be mine one day."""
Conqueror_Zhin_voice_lines,"  ""You wouldn't like me when I'm angry."""
Conqueror_Zhin_voice_lines,"  ""My strength is unmatched."""
Conqueror_Zhin_voice_lines,"  ""Let blood flow like wine."""
Conqueror_Zhin_voice_lines,"  ""Do I look funny to you?"""
Conqueror_Zhin_voice_lines,"  ""Stop pestering me."""
Conqueror_Zhin_voice_lines,"  ""Leave me alone or you're next."""
Conqueror_Zhin_voice_lines,"  ""Eahahaha"""
Conqueror_Zhin_voice_lines,"  ""Aghahahaha"""
Conqueror_Zhin_voice_lines,"  ""Aahahaha"""
Conqueror_Zhin_voice_lines,"  ""I'll sharpen my blade on their bones."""
Conqueror_Zhin_voice_lines,"  ""This shall be a glorious battle."" (Sha lin?)"
Conqueror_Zhin_voice_lines,"  ""You're quite the warrior."" (Sha lin?)"
Conqueror_Zhin_voice_lines,"  ""Follow me into battle."" (Champion2)"
Conqueror_Zhin_voice_lines,"  ""I give my sword ten thousand swings of glory every day."" (Champion2)"
Conqueror_Zhin_voice_lines,"  ""I put my spare points into charisma."" (Lian?)"
Conqueror_Zhin_voice_lines,"  ""You are a natural twenty."" (Lian?)"
Conqueror_Zhin_voice_lines,"  ""I'll hold this ground."""
Conqueror_Zhin_voice_lines,"  ""Take one step past this line. See what happens."""
Conqueror_Zhin_voice_lines,"  ""Ha, I've leveled up."""
Conqueror_Zhin_voice_lines,"  ""I get new feats next level."""
Conqueror_Zhin_voice_lines,"  ""Huagh!"""
Conqueror_Zhin_voice_lines,"  ""Defend yourself!"""
Conqueror_Zhin_voice_lines,"  ""I am glorious!"""
Conqueror_Zhin_voice_lines,"  ""Recognition of my valor."""
Conqueror_Zhin_voice_lines,"  ""My blade thirsts for battle."""
Conqueror_Zhin_voice_lines,"  *grumbles* ""I need a good fight."""
Conqueror_Zhin_voice_lines,"  ""A warrior's spirit is immortal!"""
Conqueror_Zhin_voice_lines,"  ""My thirst for battle is insatiable."""
Conqueror_Zhin_voice_lines,"  ""I should spend my gold while I'm in town."""
Conqueror_Zhin_voice_lines,"  ""Slay them."""
Conqueror_Zhin_voice_lines,"  ""Hah, you fight well."""
Conqueror_Zhin_voice_lines,"  ""Kill one, cleave another."""
Conqueror_Zhin_voice_lines,"  ""Haaagh!"""
Conqueror_Zhin_voice_lines,"  ""I haven't seen this place since it was a thriving capital."" (Keep)"
Conqueror_Zhin_voice_lines,"  ""What happened here, I haven't been gone that long."" (Keep)"
Conqueror_Zhin_voice_lines,"  ""We shall crush our enemies and see them driven before us."""
Conqueror_Zhin_voice_lines,"  ""The spoils of war."""
Conqueror_Zhin_voice_lines,"  ""Hah, perfect."""
Conqueror_Zhin_voice_lines,"  ""Enemies behind us."""
Conqueror_Zhin_voice_lines,"  ""They're behind us."""
Conqueror_Zhin_voice_lines,"  ""Enemies on the payload."""
Conqueror_Zhin_voice_lines,"  ""They're moving the payload."""
Conqueror_Zhin_voice_lines,"  ""Enemies flanking us."""
Conqueror_Zhin_voice_lines,"  ""They're flanking us."""
Conqueror_Zhin_voice_lines,"  ""Enemies above us."""
Conqueror_Zhin_voice_lines,"  ""They're above us."""
Conqueror_Zhin_voice_lines,"  ""Enemy Sniper."""
Conqueror_Zhin_voice_lines,"  ""They're sniping."""
Conqueror_Zhin_voice_lines,"  ""Filthy turret."""
Conqueror_Zhin_voice_lines,"  ""Enemies ulting."""
Conqueror_Zhin_voice_lines,"  ""They're ulting."""
Conqueror_Zhin_voice_lines,"  ""Form up."""
Conqueror_Zhin_voice_lines,"  ""Stick together."""
Conqueror_Zhin_voice_lines,"  ""Heal me."""
Conqueror_Zhin_voice_lines,"  ""Need healing."""
Conqueror_Zhin_voice_lines,"  ""Help the tank."""
Conqueror_Zhin_voice_lines,"  ""Hold the frontline."""
Conqueror_Zhin_voice_lines,"  ""Push the payload."""
Conqueror_Zhin_voice_lines,"  ""Move the payload."""
Conqueror_Zhin_voice_lines,"  ""Get on the payload."""
Conqueror_Zhin_voice_lines,"  ""Hold the payload."""
Conqueror_Zhin_voice_lines,"  ""Overtime!"""
Conqueror_Zhin_voice_lines,"  ""It's over."""
Conqueror_Zhin_voice_lines,"  ""It's too dangerous to go alone."""
Covert_Ops_Lex_voice_lines,"  ""Lex."""
Covert_Ops_Lex_voice_lines,"  ""The more you sweat in peace, the less you bleed in war""."
Covert_Ops_Lex_voice_lines,"  ""Fee fi fo fum, who's gonna eat my gun?"""
Covert_Ops_Lex_voice_lines,"  ""Cavalry, engage."""
Covert_Ops_Lex_voice_lines,"  ""The future is not written."""
Covert_Ops_Lex_voice_lines,"  ""Never miss a shot!"""
Covert_Ops_Lex_voice_lines,"  ""Hold still now."""
Covert_Ops_Lex_voice_lines,"  ""Eenie meenie miney mo."""
Covert_Ops_Lex_voice_lines,"  ""Target locked."""
Covert_Ops_Lex_voice_lines,"  ""*Atagh*"""
Covert_Ops_Lex_voice_lines,"  ""*Ugh*"""
Covert_Ops_Lex_voice_lines,"  ""No one escapes the law."" (enemy/self)"
Covert_Ops_Lex_voice_lines," ""I will pass judgement."" (allies)"
Covert_Ops_Lex_voice_lines,"  ""Enhancement complete."""
Covert_Ops_Lex_voice_lines,"  ""Incoming!"""
Covert_Ops_Lex_voice_lines,"  ""Enemy fire!"""
Covert_Ops_Lex_voice_lines,"  ""Ugh... not again."""
Covert_Ops_Lex_voice_lines,"  ""Medic..."""
Covert_Ops_Lex_voice_lines,"  ""Aerial superiority, I don't think so."" (Evie)"
Covert_Ops_Lex_voice_lines,"  ""Targets destroyed."""
Covert_Ops_Lex_voice_lines,"  ""You can all run home and cry."""
Covert_Ops_Lex_voice_lines,"  ""I am the law."""
Covert_Ops_Lex_voice_lines,"  ""Ugh... that thing was annoying."" (Willo)"
Covert_Ops_Lex_voice_lines,"  ""Perimeter secured."""
Covert_Ops_Lex_voice_lines,"  ""Perimeter, secured."""
Covert_Ops_Lex_voice_lines,"  ""Get those scrubs off my point!"""
Covert_Ops_Lex_voice_lines,"  ""Enemies breached the objective."""
Covert_Ops_Lex_voice_lines,"  ""Hell yeah!"""
Covert_Ops_Lex_voice_lines,"  ""No need for judge and jury."""
Covert_Ops_Lex_voice_lines,"  ""Mission failed."""
Covert_Ops_Lex_voice_lines,"  ""I'll be back."""
Covert_Ops_Lex_voice_lines,"  ""You're about two bread slices short of a sandwich."""
Covert_Ops_Lex_voice_lines,"  ""That was too easy."""
Covert_Ops_Lex_voice_lines,"  ""You're not worth the ammunition."""
Covert_Ops_Lex_voice_lines,"  ""A gorlock, a tigron and a paladin, walk into a bar... uh... nevermind"""
Covert_Ops_Lex_voice_lines,"  ""The easy path is always mind."""
Covert_Ops_Lex_voice_lines,"  ""Never share a foxhole with anyone braver than you."""
Covert_Ops_Lex_voice_lines,"  ""Ha."""
Covert_Ops_Lex_voice_lines,"  ""Haha ha ha ha"""
Covert_Ops_Lex_voice_lines,"  ""Hahahaha... Haha... oh..."""
Covert_Ops_Lex_voice_lines,"  ""Let's roll out."""
Covert_Ops_Lex_voice_lines,"  ""Take that!"""
Covert_Ops_Lex_voice_lines,"  ""Boom baby!"""
Covert_Ops_Lex_voice_lines,"  ""I'm tired of sittin' on my ass."""
Covert_Ops_Lex_voice_lines,"  ""Now you really pissed me off!"""
